_id,userId,userName,alias,profilePicture,userCreatedAt,bio,followers,following,lists,statusesCount,verified,userLocation,lang,type,text,createdAt,mentions,totalRetweets,favorites,replies,links,firstLink,images,impressions,isImage,firstImage,location,url,noteTweetText,inReplyTo,inReplyToId,inReplyToUserId,reportName
1575708162199793664,306349191,El de las Pizzas,Boryscorp,https://pbs.twimg.com/profile_images/1791322756052578304/vowrI-KF_normal.jpg,2011-05-27T18:34:22.000Z,"#Pizzaiolo  #Runner #AmoCorrer #PizzaLover Opiniones personales   Te quiero no por quien eres sino por quien soy cuando estoy contigo!!",1662,4881,0,54315,false,"Colombia",es,original,"El apoyo a Petro que sea virtual ya el pueblo lo eligió y lo defenderemos y rodearemos. Vamos a lo importante que es desmantelar tanta corrupción y a trabajar por nuestra patria para así vivir sabroso !!!#YoApoyoAPetro15Nov https://t.co/NyZblPBd78",2022-09-30T04:44:35.000Z,"[]",0,1,0,"[""https://x.com/Boryscorp/status/1575708162199793664/photo/1""]","https://x.com/Boryscorp/status/1575708162199793664/photo/1","[""http://pbs.twimg.com/media/Fd4KODaWQAEEfoX.jpg""]",0,true,"http://pbs.twimg.com/media/Fd4KODaWQAEEfoX.jpg","Colombia",https://x.com/user/status/1575708162199793664,,false,,,
1575692612761055233,1257334873,Rodrigo latorre,frlatorre,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2013-03-10T15:47:19.000Z,"Convencido que nosotros somos la solución  y no los políticos  el miedo la ignorancia y la polarización tienen paralizado a un pais",67,209,4,15583,false,"",es,reply,"@emiliolagos1 Voten por mi para vivir sabroso y si vivo sabroso y ustedes comen mierda!!!Petro",2022-09-30T03:42:48.000Z,"[""@emiliolagos1""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1575692612761055233,,emiliolagos1,1575570939181289479,2172336210,
1575690988269338624,1396800816615460865,Soldado,Soldado79062117,https://pbs.twimg.com/profile_images/1413659109623222272/qJA0mebt_normal.jpg,2021-05-24T12:10:50.000Z,"",68,135,1,2709,false,"",es,reply,"@FranciaMarquezM Mi sentido pésame a ti qué Petro en vez de sacar un decreto para apoyarte y que lleve la imagen nuestro país por el mundo escogió su esposa para que usted siguiera aquí era ignorancia.🙏 Ah se me olvidó decirle gasta buena plata esa mujer ella sí sabe vivir sabroso 😉🤭",2022-09-30T03:36:21.000Z,"[""@franciamarquezm""]",0,1,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1575690988269338624,,FranciaMarquezM,1575464402345758721,933739074401251328,
1575690393076699137,1531935527183712256,luis abadia,luisaba95109767,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2022-06-01T09:48:08.000Z,"",15,11,1,28936,false,"",es,reply,"@SoyAliciaFranco Alicia. porfa no seas MALALECHE  que la mona ALCOCER està viviendo sabroso como prometiò PETRO.. que sea su esposa son cosas del destino..Espera con paciencia tu turno para vivir sabroso que Petro te cumplirá porque es un hombre de palabra ¡",2022-09-30T03:33:59.000Z,"[""@soyaliciafranco""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1575690393076699137,,SoyAliciaFranco,1575637377816481792,1202350737751236608,
1575681734934335493,1367525526747938818,Tamerlan,Tamerlan232,https://pbs.twimg.com/profile_images/1538193474708770818/vJVbE5CI_normal.jpg,2021-03-04T17:21:24.000Z,"",787,1042,5,33268,false,"",es,original,"@ParaAmargado @ELTIEMPO por eso llegaron más de 2 millones de venezolanos  ellos consiguen trabajo y comen mejor que allá  igual tranquilo que tu mesías Petro te pondrá a vivir sabroso 🤣",2022-09-30T02:59:35.000Z,"[""@eltiempo""]",0,0,1,"[]",,"[]",0,false,,"",https://x.com/user/status/1575681734934335493,,false,,,
1575676843965153281,592344901,En Guardia por La Patria!!!,Juan_Pineda77,https://pbs.twimg.com/profile_images/1424511986587607042/xI2klZNX_normal.jpg,2012-05-28T02:40:00.000Z,"Anti comunista anti socialista anti progresista o como le llamen a esos bandidos...",2561,2489,6,78937,false,"Bogotá, D.C., Colombia",es,reply,"@NoticiasRCN @nolopg1 La consorte del señor Petro si empezó a vivir sabroso… https://t.co/IiP9jyZEsh",2022-09-30T02:40:08.000Z,"[""@noticiasrcn"",""@nolopg1""]",1,3,0,"[""https://x.com/Juan_Pineda77/status/1575676843965153281/photo/1""]","https://x.com/Juan_Pineda77/status/1575676843965153281/photo/1","[""http://pbs.twimg.com/media/Fd3tvIyX0AAp3-K.jpg""]",0,true,"http://pbs.twimg.com/media/Fd3tvIyX0AAp3-K.jpg","Bogotá D.C. Colombia",https://x.com/user/status/1575676843965153281,,NoticiasRCN,1575616834279276551,35013719,
1575669097614147584,963424873,Anny S.,diago_s,https://pbs.twimg.com/profile_images/1546995353047777281/Evrx9gky_normal.jpg,2012-11-22T01:33:17.000Z,"",364,591,1,58332,false,"Colombia",es,original,"Este es el control del gasto público del gobierno de Petro nos ahogaran con impuestos para que ellos puedan  vivir sabroso clásico de la izquierda corrupta y retrógrada https://t.co/8iEx3Gyq7T",2022-09-30T02:09:22.000Z,"[]",0,0,0,"[""https://twitter.com/Melquisedec70/status/1575604586425233408""]","https://twitter.com/Melquisedec70/status/1575604586425233408","[]",0,false,,"Colombia",https://x.com/user/status/1575669097614147584,,false,,,
1575668810996420608,217975062,hermanos villalba,hnosvillalba,https://pbs.twimg.com/profile_images/1428102561832255493/w6gfaQnl_normal.jpg,2010-11-21T02:11:08.000Z,"SOMOS ARTISTAS NACIDOS EN CARTAGENA DE ASCENDENCIA LIBANESANUESTRO ESTILO ES VALLENATO FUSIONADO ACOMPAÑADO DE NUESTRA ESENCIA. INSTAGRAM @jorgevillalba20",856,1736,6,4680,false,"cartagena colombia",es,reply,"@MariaT31247609 @josehramipe @QuinteroCalle @IvanDuque A vivir sabroso a costa de nosotros! Quien carajo dijo que ella era política veaaaaaaaa le quitó el trabajo a Francia marquez!!!! La tienen haciendo mandados otro engaño más que les metieron! https://t.co/nOse9hEKjW",2022-09-30T02:08:13.000Z,"[""@mariat31247609"",""@josehramipe"",""@quinterocalle"",""@ivanduque""]",0,0,1,"[""https://x.com/hnosvillalba/status/1575668810996420608/photo/1""]","https://x.com/hnosvillalba/status/1575668810996420608/photo/1","[""http://pbs.twimg.com/media/Fd3mblYWIAICBHk.jpg""]",0,true,"http://pbs.twimg.com/media/Fd3mblYWIAICBHk.jpg","cartagena colombia",https://x.com/user/status/1575668810996420608,,MariaT31247609,1575539666958303233,1241490603218698241,
1575668799197810693,1388961851027992588,Yo,Yo44374781,https://pbs.twimg.com/profile_images/1390107850429636612/MmDeLsP0_normal.jpg,2021-05-02T21:01:46.000Z,"Yo",117,565,0,146,false,"",es,reply,"@MariaFdaCabal El famoso cambio.. Que ricoooo A VIVIR SABROSO!!!! pero les faltó completar. A VIVIR SABROSO PETRO Y SU FAMILIA..",2022-09-30T02:08:10.000Z,"[""@mariafdacabal""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1575668799197810693,,MariaFdaCabal,1575640202911293440,350862112,
1575668682147373056,217975062,hermanos villalba,hnosvillalba,https://pbs.twimg.com/profile_images/1428102561832255493/w6gfaQnl_normal.jpg,2010-11-21T02:11:08.000Z,"SOMOS ARTISTAS NACIDOS EN CARTAGENA DE ASCENDENCIA LIBANESANUESTRO ESTILO ES VALLENATO FUSIONADO ACOMPAÑADO DE NUESTRA ESENCIA. INSTAGRAM @jorgevillalba20",856,1736,6,4680,false,"cartagena colombia",es,reply,"@claunatty @nilsonagu A vivir sabroso a costa de nosotros! Quien carajo dijo que ella era política veaaaaaaaa le quitó el trabajo a Francia marquez!!!! La tienen haciendo mandados otro engaño más que les metieron! https://t.co/BZkD1vZYvH",2022-09-30T02:07:42.000Z,"[""@claunatty"",""@nilsonagu""]",0,0,0,"[""https://x.com/hnosvillalba/status/1575668682147373056/photo/1""]","https://x.com/hnosvillalba/status/1575668682147373056/photo/1","[""http://pbs.twimg.com/media/Fd3mUGzXEAET06D.jpg""]",0,true,"http://pbs.twimg.com/media/Fd3mUGzXEAET06D.jpg","cartagena colombia",https://x.com/user/status/1575668682147373056,,claunatty,1575595737223933952,1535649454002524163,
1575665443884638208,389192380,OIRUBIO,OIRUBIO1,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2011-10-12T00:52:40.000Z,"",10,269,1,16549,false,"",es,reply,"@Mamertos0 Ya empezaron los progresistas a defender lo indefendible tanto criticaron los viajes del hermano de duque que les dio envidia y pusieron a pasear a la esposa de petro por lo visto le hicieron conejo a los que votaron por el cambio eso sí es vivir sabroso la esposa de petro",2022-09-30T01:54:50.000Z,"[""@mamertos0""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1575665443884638208,,Mamertos0,1575551720239017984,1393590919916576770,
