Fecha,Autor,Texto
2025-06-02 11:58:38+00:00,858316970864914433,@SeekingTheValue Esta gente estaba alineada con el feminismo y con aquellos que luchaban por los derechos de la mujer??
2025-06-02 11:41:00+00:00,240815166,"📜 El 2 de junio de 1970, nos dejó una de las voces más valientes y comprometidas del feminismo y el anarquismo en España.

Lucía Sánchez Saornil fue una mujer pionera que luchó por la igualdad, la libertad y los derechos de las mujeres en tiempos difíciles. Su legado sigue https://t.co/047ZSK7glR"
2025-06-02 09:26:41+00:00,872812055463636992,"Feminismo para todos: desmontando prejuicios
El feminismo odia a los hombres’. FALSO.
‘Las feministas no quieren igualdad’. FALSO.
‘Ya tenemos los mismos derechos’. FALSO.
El feminismo busca justicia, no revancha. ¿Dejamos los mitos y empezamos a escuchar?
#Cochingsocial https://t.co/0tpOXyb9zb"
2025-06-02 08:47:41+00:00,177713300,"@almapatriayvida @tipitoenojado 📣 Mandriles...
El feminismo salió a marchas por los ""derechos"" de los inmigrantes musulmanes, africanos y marroquíes y esos son los resultados.
Así que cierren el OR-TO"
2025-06-02 07:52:34+00:00,1382764347043237889,"Lgbt que se FORMÓ para luchar por los derechos de las personas que NO son hetero-cisgenero.
Esto es como que quieran incluir al hombre en el feminismo, no se puede, no es un espacio que no les pertenece ni pueden pertenecer. Se agradece el apoyo y la comprensión, pero +"
2025-06-02 04:08:38+00:00,1504028216167653377,"Isabel la Católica unió España, impulsó el descubrimiento de América, redactó derechos humanos y forjó el primer imperio global.
Su legado perdura en el mundo por siempre. 
El feminismo actual no celebra a esta mujer pionera de la historia universal.
Viva la Reina más grande 🇪🇸 https://t.co/R0tXLJby4e"
2025-06-01 23:26:25+00:00,1784089280744226816,"Los heteros no lucharon por nada?

Entonces el feminismo, la lucha contra el racismo, contra la esclavitud, por los derechos del hombre, del niño etc no existen?

No te matan?, entonces las guerras, las genocidios y las masacres no existen xddd? https://t.co/cgNmDwJwz5"
2025-06-01 22:31:34+00:00,1408362852,"@martagg82 @bedmar_pere Para Vox, las mujeres no necesitan derechos, sino “protección”.

❌ Niegan la violencia machista
❌ Quieren derogar leyes de igualdad
❌ Atacan el feminismo y el avance social

No quieren mujeres libres, quieren mujeres sumisas.
Así que espabila nena!"
2025-06-01 22:16:58+00:00,1917976999601336321,"Las mujeres que trabajan en estos ámbitos suelen hacerlo por necesidad. No deberían verse obligadas a recurrir a estas profesiones para subsistir. El feminismo defiende que, aun así, deben ser respetadas y tener los mismos derechos laborales que en cualquier otra profesión."
2025-06-01 21:57:17+00:00,299512363,"@StvBillw @SoniaCaracasMad @weirdfishesaa @PumaChairo El feminismo es la lucha de las mujeres por un mundo libre de opresión sexista, aka género. 
Convertir la opresión sexista en identidad legal y privar de derechos sexuales y reproductivos a menores que no se ajustan a sus normas será otra cosa; feminismo no"
2025-06-01 19:58:26+00:00,309572236,"Madonna @Madonna fue elegida mujer del año en 2016

No había escuchado su discurso y es 💜 ♀️

Un alegato a las mujeres, a nuestros derechos, al feminismo, a ayudarnos y darnos soporte, a la sororidad 

https://t.co/MINZoawazX"
2025-06-01 19:20:36+00:00,407289889,"Y no lo olvidéis, que millones de hombres en el mundo sean unos nszis, que negarían el derecho al voto y toda la lucha feminista de derechos humanos de la mitad de la población mundial, es culpa del feminismo. Chupito."
2025-06-01 17:47:42+00:00,1738869623770996736,@Belisa82754991 Hoy en día eso está desfasado. Tanto como el feminismo. Los derechos los tienen.  Antes era algo reivindicativo y se entendía. Ahora es solo una fiesta… se tendría que dar una vuelta al concepto. La orientación e identidad  sexual no debe ser nada más que eso.
2025-06-01 15:43:32+00:00,407289889,"Otro ejemplo de recesión: en vez de luchar por mejorar los derechos laborales de todos, no paran de subir contenido para criticar a las mujeres trabajadoras y al feminismo.  https://t.co/8iVIP0iOQ0"
2025-06-01 15:19:49+00:00,300924706,"@MajoMartinezP_ El feminismo se basa justamente en defender los derechos d las mujeres!
De las mujeres con respecto a los hombres.
Las mujeres trans podrán estar oprimidas, pero no se han puesto d parte d las mujeres sino d los hombres! 
Son parte dl patriarcado y una herramienta más d sumisión."
2025-06-01 13:23:29+00:00,1857151102350684160,@isaacrrr7 Estos son los que están dejando entrar por nuestras fronteras las defensoras del feminismo y de los derechos humanos
2025-06-01 12:25:26+00:00,1785668234504515584,"@informaticoedu @BetaniaTv ¿Y? Es lo que toca después de siglos de sometimiento. Y repito,lo de ahora de montero y compañía no es feminismo.Dejad de llorar,las diferencias son pocas en comparación con lo que nos tocó sufrir a nosotras décadas. Tenéis muchos derechos que no tuvimos en su día nosotras."
2025-06-01 12:19:30+00:00,309572236,"1 de junio de 1843: aparece en Francia 'La Unión Obrera', de Flora Tristán, precursora del #Feminismo y del socialismo.

Con él escribió uno de los primeros alegatos en favor de la clase trabajadora y en defensa de los derechos laborales de las mujeres #memoriamujeres https://t.co/XwXnNPeLTE"
2025-06-01 10:45:42+00:00,1013688263075385345,"@sanchezcastejon 7 años en los que no te ha importado vender los derechos de las mujeres y la infancia a costa de mantener el cargo. Eres el máximo responsable del retroceso del feminismo en este país, TRAIDOR!🤬🤬🤬"
2025-06-01 09:39:28+00:00,380367894,"“las mujeres y niñas afganas han quedado fuera de la reivindicación feminista cotidiana[…]cuando hasta hace muy poco el feminismo había dejado claro que los derechos humanos y civiles de las mujeres eran su objetivo prioritario,no negociable”
https://t.co/bujV7Pg0G4 via @el_pais"
2025-06-01 09:09:24+00:00,976708221263020036,@isaacrrr7 Que hable de feminismo y derechos LGTBIQ+ con los dirigentes de Gaza y su gente.
